,FR,ES,IT,PT,UK
valeur_2020,"Ruban 2 cm satin épais",,"Fascetta satinata 2 cm di spessore ",
valeur_2021,"Gobelet 25 cl polypropylène opaque vert",,"Bicchiere 25 cl polipropilene opaco verde",
valeur_2022,"Gobelet 25 cl polypropylène opaque jaune",,"Bicchiere 25 cl polipropilene opaco giallo",
valeur_2023,"Gobelet 25 cl polypropylène opaque orange",,"Bicchiere 25 cl polipropilene opaco arancione",
valeur_2024,"Gobelet 25 cl polypropylène opaque violet",,"Bicchiere 25 cl polipropilene opaco viola",
valeur_2025,"Gobelet 25 cl polypropylène opaque rouge",,"Bicchiere 25 cl polipropilene opaco rosso",
valeur_2026,"Gobelet 25 cl polypropylène opaque bleu",,"Bicchiere 25 cl polipropilene opaco blu",
valeur_2027,"Gobelet 25 cl polypropylène opaque noir",,"Bicchiere 25 cl polipropilene opaco nero",
valeur_2028,"Gobelet 50 cl polypropylène translucide blanc",,"Bicchiere 50cl polipropilene traslucido bianco",
valeur_2029,"Taille unique",,,
valeur_2030,"Polypropylène rouge",,"Polipropilene rosso",
valeur_2031,"Polypropylène orange",,"Polipropilene arancione",
valeur_2032,"Polypropylène bleu",,"Polipropilene blu",
valeur_2033,"Polypropylène vert",,"Polipropilene verde",
valeur_2034,"Pochette couverts",,Portaposate,
valeur_2035,"Pochette avant",,"Taschino fronte",
valeur_2036,"Pochette avant / Face arrière A4",,"Taschino fronte / Retro A4",
valeur_2037,"Face avant",,Davanti,
valeur_2038,"Face arrière",,Dietro,
valeur_2039,"Face avant / Face arrière",,Davanti/Dietro,
valeur_2040,"160g tissu 100% coton Blanc - Fil belcoro®",,"160g tessuto 100% cotone bianco - Fiatol Belcoro®",
valeur_2042," 2 plis croisés",,,
valeur_2043,sans,,,
valeur_2045,"Blanche pour pochette blanche",,"Bianco per portaposate bianco",
valeur_2046,"Blanche pour pochette noire",,"Bianco per portaposate nero",
