,FR,ES,IT,PT,UK
valeur_352,"Rectangle avec coins arrondis 5x12 cm","Rectángulo con cantos redondeados 5*12 cm","Rettangolo con angoli arrotondati 5 x 12 cm","Rectángulo com cantos arredondados 5*12 cm","Round corner rectangle 50 x 120mm"
valeur_353,Sérigraphie,Serigrafía,Serigrafia,Serigrafia,"Silkscreen printing "
valeur_354,Piquée,Grapado,"punto metallico",Agrafado,Stitched
valeur_355,Sans,Sin,Senza,Sem,No
valeur_356,Avec,Con,Con,Com,Included
valeur_357,"Petit côté","Lado corto","lato corto","Lado curto","Short edge "
valeur_358,"Grand côté","Lado largo","Lato lungo","Lado grande","Long edge "
valeur_359,"Dos carré collé","Rústica fresada","Rilegate con brossura fresata","Encadernação fresada","Perfect bound"
valeur_360,"90g Era Pure","90g Offset reciclado Era pure","90g Offset riciclata Erapure","90g Offset reciclado Era pure","90g Offset Erapure Recycled"
valeur_361,"90g kraft brun","90 Kraft","90g Kraft","90 Kraft","90g Brown Kraft"
valeur_364,"Sans fenêtre","Sin ventana","Senza finestra","Sem janela","Non windowed"
valeur_365,"45*100 mm","45 * 100","45*100 mm","45 * 100","45*100 mm"
valeur_366,"35*100 mm","35 * 100","35*100 mm","35 * 100","35*100 mm"
valeur_367,Cristal,Cristal,Cristal,Vidro,Crystal
valeur_368,Maïs,Maíz,Maïs,Milho,Corn
valeur_369,"Non mécanisable",Auto-adhesivo,"Non meccanizzabile",Autocolante,"Not machinable "
valeur_370,Mécanisable,"No auto-adhesivo",Meccanizzabile,"Não autocolante","Machinable "
valeur_371,"Petit côté","Lado corto","Lato corto","Lado curto","Short edge"
valeur_372,"Grand côté","Lado largo","Lato lungo ","Lado grande","Long edge "
valeur_373,Sans,Sin,Senza,Sem,No
valeur_374,Haut,Alto,Alto,Altura,Top
valeur_376,Noir,Negro,Nero,Preto,Black
valeur_378,Quadri,Cuatricromía,Quadricromia,Quadri.,"4 colour"
valeur_379,Quadri,Cuatricromía,Quadricromia,Quadri.,"4 colour"
valeur_380,2,2,2,2,2
valeur_381,Sans,Sin,Senza,Sem,No
valeur_382,Mat,Mate,Opaca,Mate,Matt
valeur_383,Brillant,Brillante,Lucida,Brilhante,"Glossy "
valeur_384,Sans,Sin,Senza,Sem,No
valeur_387,Sans,Sin,Senza,Sem,No
valeur_390,"Acrylique satiné","Acrílico satinado","Acrilico satinato","Acrílico acetinado","Clear varnish"
valeur_391,Sans,Sin,Senza,Sem,No
valeur_394,"Acrylique satiné","Acrílico satinado","Acrilico satinato","Acrílico acetinado","Clear varnish"
valeur_395,Sans,Sin,Senza,Sem,No
valeur_396,Avec,Con,Con,Com,Included
valeur_397,Sans,Sin,Senza,Sem,No
valeur_406,"250g Cyclus Print","250g Cyclus print","250g Cyclus Print","250g Cyclus Print","250gsm Cyclus Print"
valeur_407,"300g couché brillant","300 gr. estucado brillante","300g Patinata Lucida","300g Couché Brilho","300gsm Gloss Coated"
valeur_409,"350g couché demi-mat","350 gr. estucado semi-mate","350g Opaca Condat Périgord","350g Mate Condat Perigord","350gsm Silk Coated"
valeur_410,Sans,Sin,Senza,Sem,No
valeur_411,"55*105 mm","55 x 105","55*105 mm","55 x 105","55*105 mm"
valeur_412,"50*100 mm","50 x 100","50*100 mm","50 x 100","50*100 mm"
valeur_413,"130g Cyclus Print","130g Cyclus Print","130g Cyclus Print","130g Cyclus Print","130gsm Cyclus Print"
valeur_414,Flexographie,Flexografía,Flexografia,Flexografia,Flexography
valeur_415,E-SERVICE,E-SERVICE,E-SERVIZIO,E-SERVICE,E-SERVICE
valeur_416,"Sans pied",Sin,"Senza piede",Sem,"No Footer"
valeur_417,Sublimation,Sublimación,Sublimazione,Sublimação,"Dye Sublimation"
valeur_418,Rotative,Rotativa,Rotativa,Rotativa,"Rotary Press"
valeur_419,"135g couché demi-mat","135gr. semi-mate","135g Semi Opaca","135g Semi-mate","135gsm Silk Coated"
valeur_420,"120g couché 1 face mat Inifugé M1","120g Ignifugado M1","120g Opaco Ignifugo M1","120g Anti-fogo M1","120gsm Matt fire-retardent M1"
valeur_421,"120g mat REH","120g Mat REH","120g Opaco REH","120g Mat REH","120gsm Matt Water resistant"
valeur_422,"Verre acrylique transparent 5 mm","Placa de vidrio transparente 5 mm","Plexiglass trasparente da 5 mm","Vidro Acrílico transparente 5mm","5mm Transparent acrylic glass"
valeur_423,Sans,Sin,Senza,Sem,No
valeur_424,"Adhésif blanc","Adhesivo blanco","Adesivo bianco","Autocolante branco","White adhesive"
valeur_425,"Adhésif dépoli","Adhesivo pulido","Adesivo effetto sabbiato","Autocolante polido","Frosted adhesive"
valeur_426,"Aluminium anodisé 2 mm","Placa de aluminio anodizado","Alluminio anodizzato 2 mm","Placa de alumínio anodizado","Anodised Aluminium 2mm"
valeur_428,"300g toile Canvas","Lienzo de tela","Tela del pittore","Quadro de tela","Canvas prints"
valeur_429,Imprimés,Impresos,Stampati,Impressos,Printed
valeur_430,"Non imprimés","No impresos","Non stampato","Não impressos","Not printed "
valeur_431,"Akylux 3,5 mm","Akylux espesor 3,5mm","Akylux 3,5 mm","Akylux espessura 3,5mm","Akylux 3,5mm"
valeur_432,"2 perforations de 4 mm",Dos,"2 fori di 4 mm",Dois,"2 hole-punches of 4mm"
valeur_433,"2 perforations de 4 mm + oeillets","Dos con ojales","2 fori di 4 mm + occhielli","Dois com ilhós","2 hole-punches of 4mm + eyelet"
valeur_434,"4 perforations (à chaque angle)","Cuatro (uno en cada ángulo)","4 fori (ad ogni angolo)","Quatro (um em cada canto)","4 holes (1 on each corner)"
valeur_436,"Dibond 3 mm","Dibond espesor 3mm","Dibond 3 mm","Dibond espessura 3mm","Dibond 3mm"
valeur_438,Avec,Con,Con,Com,Included
valeur_439,Avec,Con,Con,Com,Included
valeur_441,Avec,Con,Con,Com,Included
valeur_450,"2 plis accordéon (3 volets)","dos acordeón","2 pieghe fisarmonica (3 ante)","dois acordeão","6pp concertina"
valeur_451,"2 plis fenêtre (3 volets)","dos ventana","2 pieghe finestra (3 ante)","dois janela","6pp gate fold"
valeur_454,"Rond 11 cm de diamètre","Redondo 11 cm de diámetro","Rotondo 11 cm di diametro","Redondo 11 cm de diâmetro","110mm diameter circle "
valeur_455,"Rond 12 cm de diamètre","Redondo 12 cm de diámetro","Rotondo 12 cm di diametro","Redondo 12 cm de diâmetro","120mm diameter circle "
valeur_456,"Ovale 11x13 cm","Ovalado 11*13 cm","Ovale 11x13 cm","Ovalado 11*13 cm","Oval 110 x 130mm"
valeur_457,"Ovale 18x12 cm","Ovalado 18*12 cm","Ovale 18x12 cm","Ovalado 18*12 cm","Oval 180 x 120mm"
valeur_458,"Rectangle avec coins arrondis 9x12 cm","Rectangular con cantos redondeados 9*12 cm","Rettangolo con angoli arrotondati 9x12 cm","Rectangular con cantos arredondados 9*12 cm","Round cornered rectangle 90 x 120mm"
valeur_459,"Ovale 20x14 cm","Ovalado 20*14 cm","Ovale 20x14 cm","Ovalado 20*14 cm","Oval 200 x 140mm"
valeur_460,"Ovale 26,5x13,5 cm","Ovalado 26,5*13,5 cm","Ovale 26,5x13,5 cm","Ovalado 26,5*13,5 cm","Oval 265 x 135mm"
valeur_461,"Rond 22 cm de diamètre","Redondo 22 cm de diámetro","Rotondo 22 cm di diametro","Redondo 22 cm de diâmetro","220mm diameter circle "
valeur_462,"Rond 24 cm de diamètre","Redondo 24 cm de diámetro","Rotondo 24 cm di diametro","Redondo 24 cm de diâmetro","240mm diameter circle "
valeur_467,25,25,25,25,25
valeur_468,50,50,50,50,50
